ANIMAL,WW,LC,DW,MAREA,OXIGENO,ACLIMATACION,MO2_IND,MO2_DW
1,17.58,21.2472537514,4.3543642852,ALTA,HIPOXIA,LABORATORIO,0.013404738,3.0784603956
2,15.38,20.3660609064,3.8591818549,ALTA,HIPOXIA,LABORATORIO,0.016205357,4.1991690491
3,14.56,20.0376163005,3.6893795317,ALTA,HIPOXIA,LABORATORIO,0.010564286,2.8634316175
4,13.91,19.777263869,3.5601049053,ALTA,HIPOXIA,LABORATORIO,0.01175,3.3004645404
5,12.9,19.3727162447,3.3681613017,ALTA,HIPOXIA,LABORATORIO,0.013232143,3.9285954011
6,13.21,19.4968843274,3.4259472917,ALTA,HIPOXIA,LABORATORIO,0.012250403,3.5757710078
7,15.69,20.4902289891,3.9253920581,ALTA,HIPOXIA,TERRENO,0.011915323,3.0354478798
8,11.95,18.9922011525,3.1970752901,ALTA,HIPOXIA,TERRENO,0.014954637,4.6775992565
9,20.64,22.4729128905,5.1505006737,ALTA,HIPOXIA,TERRENO,0.018790574,3.6483004644
10,14.64,20.0696596767,3.705611298,ALTA,HIPOXIA,TERRENO,0.021665039,5.8465492621
11,15.82,20.5422994754,3.9534945748,ALTA,HIPOXIA,TERRENO,0.017002976,4.3007460054
12,9.94,18.1871113259,2.8631978049,ALTA,HIPOXIA,TERRENO,0.0099,3.4576723911
1,17.58,21.2472537514,4.3543642852,BAJA,HIPOXIA,LABORATORIO,0.011807889,2.7117365996
2,15.38,20.3660609064,3.8591818549,BAJA,HIPOXIA,LABORATORIO,0.015215164,3.9425879816
3,14.56,20.0376163005,3.6893795317,BAJA,HIPOXIA,LABORATORIO,0.012122951,3.2859050948
4,13.91,19.777263869,3.5601049053,BAJA,HIPOXIA,LABORATORIO,0.013652152,3.8347611554
5,12.9,19.3727162447,3.3681613017,BAJA,HIPOXIA,LABORATORIO,0.013665984,4.0574018807
6,13.21,19.4968843274,3.4259472917,BAJA,HIPOXIA,LABORATORIO,0.010932787,3.1911719793
7,15.69,20.4902289891,3.9253920581,BAJA,HIPOXIA,TERRENO,0.014159375,3.6071237702
8,11.95,18.9922011525,3.1970752901,BAJA,HIPOXIA,TERRENO,0.012671563,3.963485952
9,20.64,22.4729128905,5.1505006737,BAJA,HIPOXIA,TERRENO,0.017255,3.3501597404
10,14.64,20.0696596767,3.705611298,BAJA,HIPOXIA,TERRENO,0.01972,5.321659077
11,15.82,20.5422994754,3.9534945748,BAJA,HIPOXIA,TERRENO,0.0172375,4.3600666888
12,9.94,18.1871113259,2.8631978049,BAJA,HIPOXIA,TERRENO,0.0136125,4.7542995377
1,9.6,18.0509269771,2.8102736361,ALTA,NORMOXIA,LABORATORIO,0.0111375,3.9631372037
2,13.41,19.5769927678,3.4637536513,ALTA,NORMOXIA,LABORATORIO,0.019010966,5.4885444849
3,12.62,19.260564428,3.3168057251,ALTA,NORMOXIA,LABORATORIO,0.013654943,4.1168956314
4,15.93,20.5863591176,3.9774307127,ALTA,NORMOXIA,LABORATORIO,0.015950284,4.0101978267
5,14.17,19.8814048416,3.6112621073,ALTA,NORMOXIA,LABORATORIO,0.016101818,4.4587785438
6,8.68,17.682428151,2.6719205443,ALTA,NORMOXIA,LABORATORIO,0.012785264,4.7850464817
7,15.39,20.3700663284,3.8613001344,ALTA,NORMOXIA,TERRENO,0.027171818,7.0369608822
8,15.75,20.5142615212,3.9383375418,ALTA,NORMOXIA,TERRENO,0.020987216,5.3289530867
9,9.17,17.8786938301,2.7447388035,ALTA,NORMOXIA,TERRENO,0.015525,5.6562759197
10,16.14,20.6704729801,4.0235301354,ALTA,NORMOXIA,TERRENO,0.021133636,5.2525109266
11,16.73,20.9067928795,4.1559269108,ALTA,NORMOXIA,TERRENO,0.019249432,4.6318023424
12,11.84,18.9481415102,3.1778353233,ALTA,NORMOXIA,TERRENO,0.020074885,6.3171571078
1,9.6,18.0509269771,2.8102736361,BAJA,NORMOXIA,LABORATORIO,0.02025,7.2057040068
2,13.41,19.5769927678,3.4637536513,BAJA,NORMOXIA,LABORATORIO,0.0205625,5.9364787655
3,12.62,19.260564428,3.3168057251,BAJA,NORMOXIA,LABORATORIO,0.022477273,6.7767831048
4,15.93,20.5863591176,3.9774307127,BAJA,NORMOXIA,LABORATORIO,0.017722538,4.4557754189
5,14.17,19.8814048416,3.6112621073,BAJA,NORMOXIA,LABORATORIO,0.019568182,5.4186545918
6,8.68,17.682428151,2.6719205443,BAJA,NORMOXIA,LABORATORIO,0.010777125,4.0334751057
7,15.39,20.3700663284,3.8613001344,BAJA,NORMOXIA,TERRENO,0.034186765,8.8536927486
8,15.75,20.5142615212,3.9383375418,BAJA,NORMOXIA,TERRENO,0.02697886,6.850316844
9,9.17,17.8786938301,2.7447388035,BAJA,NORMOXIA,TERRENO,0.025113971,9.1498582554
10,16.14,20.6704729801,4.0235301354,BAJA,NORMOXIA,TERRENO,0.032558824,8.0921039247
11,16.73,20.9067928795,4.1559269108,BAJA,NORMOXIA,TERRENO,0.037727574,9.0780167241
12,11.84,18.9481415102,3.1778353233,BAJA,NORMOXIA,TERRENO,0.018725551,5.8925492025
